KEY;FR;EN;ES;PT;IT;
saison.prochain_match.statut_deja_joue;Match déjà joué ;Game already played;Partido ya jugado;Partida já jogada;Partita già giocata;
saison.popularite.label;Popularité :;Popularity:;Popularidad:;Popularidade:;Popolarità:;
saison.recettes_previsionnelles.titre;Recettes prévisionnelles;Projected revenue;Recaudación prevista;Receitas previstas;Incassi previsti;
saison.recettes_previsionnelles.billetterie;Billetterie ;Ticketing;Taquilla;Bilheteria;Biglietteria;
saison.recettes_previsionnelles.boutique;Boutique ;Shop;Tienda;Loja;Negozio;
saison.classement.titre;Classement;Standings;Clasificación;Classificação;Classifica;
saison.classement.colonne.rang;Rg;Rk;Puesto;Coloc.;Pos.;
saison.classement.colonne.equipe;Équipe;Team;Equipo;Equipe;Squadra;
saison.classement.colonne.joues;J;GP;PJ;J;G;
saison.classement.colonne.victoires;V;W;V;V;V;
saison.classement.colonne.defaites;D;L;D;D;S;
saison.classement.colonne.points_pour;Pts pour ;Points for;Puntos a favor;Pontos a favor;Punti fatti;
saison.classement.colonne.points_contre;Pts contre ;Points against;Puntos en contra;Pontos contra;Punti subiti;
saison.classement.colonne.diff;Diff;Diff;Dif.;Dif.;Diff.;
saison.stats.titre;Statistiques;Statistics;Estadísticas;Estatísticas;Statistiche;
saison.stats.equipe.titre;Statistiques de l'équipe;Team statistics;Estadísticas del equipo;Estatísticas da equipe;Statistiche della squadra;
saison.stats.equipe.taux_tirs2;Taux de tir à 2 points;2-point field-goal percentage;Porcentaje de tiro de 2 puntos;Aproveitamento de arremessos de 2 pontos;Percentuale tiri da 2 punti;
saison.stats.equipe.taux_tirs3;Taux de tir à 3 points;3-point field-goal percentage;Porcentaje de tiro de 3 puntos;Aproveitamento de arremessos de 3 pontos;Percentuale tiri da 3 punti;
saison.stats.equipe.passes_perdues;Passes perdues;Turnovers;Pérdidas de balón;Perdas de bola;Palle perse;
saison.stats.equipe.fautes;Fautes;Fouls;Faltas;Faltas;Falli;
saison.stats.mvp_match.titre;Meilleur joueur du match;Player of the game;Mejor jugador del partido;Melhor jogador da partida;Miglior giocatore della partita;
saison.stats.mvp_match.points;Points marqués;Points scored;Puntos anotados;Pontos marcados;Punti segnati;
saison.stats.mvp_match.passes;Passes décisives;Assists;Asistencias;Assistências;Assist;
saison.stats.mvp_match.taux_tirs2;Taux de tir à 2 points;2-point field-goal percentage;Porcentaje de tiro de 2 puntos;Aproveitamento de arremessos de 2 pontos;Percentuale tiri da 2 punti;
saison.stats.mvp_match.taux_tirs3;Taux de tir à 3 points;3-point field-goal percentage;Porcentaje de tiro de 3 puntos;Aproveitamento de arremessos de 3 pontos;Percentuale tiri da 3 punti;
saison.stats.mvp_equipe.titre;Meilleur joueur de l'équipe;Best player on your team;Mejor jugador de tu equipo;Melhor jogador da sua equipe;Miglior giocatore della tua squadra;
saison.stats.mvp_equipe.points;Points marqués;Points scored;Puntos anotados;Pontos marcados;Punti segnati;
saison.stats.mvp_equipe.passes;Passes décisives;Assists;Asistencias;Assistências;Assist;
saison.stats.mvp_equipe.taux_tirs2;Taux de tir à 2 points;2-point field-goal percentage;Porcentaje de tiro de 2 puntos;Aproveitamento de arremessos de 2 pontos;Percentuale tiri da 2 punti;
saison.stats.mvp_equipe.taux_tirs3;Taux de tir à 3 points;3-point field-goal percentage;Porcentaje de tiro de 3 puntos;Aproveitamento de arremessos de 3 pontos;Percentuale tiri da 3 punti;
saison.calendrier.titre;Calendrier;Schedule;Calendario;Calendário;Calendario;
saison.calendrier.historique.titre;Derniers matchs;Recent games;Últimos partidos;Últimas partidas;Ultime partite;
saison.calendrier.ligne_match;{equipe1} {score1} - {score2} {equipe2};{equipe1} {score1} - {score2} {equipe2};{equipe1} {score1} - {score2} {equipe2};{equipe1} {score1} - {score2} {equipe2};{equipe1} {score1} - {score2} {equipe2};
saison.calendrier.prochain_match.titre;Prochain match;Next game;Próximo partido;Próxima partida;Prossima partita;
saison.calendrier.prochain_match.ligne;{equipe_joueur} vs {adversaire};{equipe_joueur} vs {adversaire};{equipe_joueur} vs {adversaire};{equipe_joueur} vs {adversaire};{equipe_joueur} vs {adversaire};
popup.bienvenue_manager.titre;Bienvenue, manager ! ;Welcome, manager!;¡Bienvenido, mánager!;Bem-vindo, manager!;Benvenuto, manager!;
popup.bienvenue_manager.texte;Texte d’intro général au jeu ;General introduction text for the game;Texto de introducción general del juego;Texto de introdução geral do jogo;Testo introduttivo generale del gioco;
popup.bienvenue_saison.titre;Nouvelle saison ! ;New season!;¡Nueva temporada!;Nova temporada!;Nuova stagione!;
popup.bienvenue_saison.texte;Texte d’intro spécifique à la saison ;Season-specific introduction text;Texto de introducción específico de la temporada;Texto de introdução específico da temporada;Testo introduttivo specifico della stagione;
popup.victoires4.titre;Série de victoires ! ;Winning streak!;¡Racha de victorias!;Sequência de vitórias!;Serie di vittorie!;
popup.victoires4.texte;4 victoires d’affilée ! ;4 wins in a row!;¡4 victorias seguidas!;4 vitórias seguidas!;4 vittorie di fila!;
popup.victoires4.bouton_fermer;OK;OK;OK;OK;OK;
popup.finances.difficulte.titre;Attention aux finances ;Watch your finances;Cuidado con las finanzas;Atenção às finanças;Attenzione alle finanze;
popup.finances.difficulte.texte;Votre club rencontre des difficultés financières… ;Your club is having financial difficulties…;Tu club está teniendo dificultades financieras…;Seu clube está enfrentando dificuldades financeiras…;Il tuo club sta avendo difficoltà finanziarie…;
popup.finances.difficulte.bouton_voir_finances;Voir les finances ;View finances;Ver finanzas;Ver finanças;Vedi finanze;
popup.joueur.blesse.titre;Joueur blessé ;Injured player;Jugador lesionado;Jogador lesionado;Giocatore infortunato;
popup.joueur.blesse.texte;Un de vos joueurs est blessé… ;One of your players is injured…;Uno de tus jugadores está lesionado…;Um dos seus jogadores está lesionado…;Uno dei tuoi giocatori è infortunato…;
popup.joueur.moral.titre;Problème de moral ;Morale issue;Problema de moral;Problema de moral;Problema di morale;
popup.joueur.moral.texte;Un joueur semble démotivé… ;A player seems demotivated…;Un jugador parece desmotivado…;Um jogador parece desmotivado…;Un giocatore sembra demotivato…;
popup.tournoi.deja_fini.titre;Tournoi terminé;Tournament finished;Torneo terminado;Torneio encerrado;Torneo terminato;
popup.tournoi.deja_fini.texte;Ce tournoi est déjà fini.;This tournament is already over.;Este torneo ya ha terminado.;Este torneio já acabou.;Questo torneo è già finito.;
popup.tournoi.non_disponible.titre;Tournoi indisponible ;Tournament unavailable;Torneo no disponible;Torneio indisponível;Torneo non disponibile;
popup.tournoi.non_disponible.texte;Ce niveau de tournoi n’est pas encore disponible.;This tournament level is not available yet.;Este nivel de torneo aún no está disponible.;Este nível de torneio ainda não está disponível.;Questo livello di torneo non è ancora disponibile.;
popup.tournoi.victoire.titre;Tournoi gagné ! ;Tournament won!;¡Torneo ganado!;Torneio vencido!;Torneo vinto!;
popup.tournoi.victoire.texte;Félicitations, vous remportez le tournoi ! ;Congratulations, you’ve won the tournament!;¡Felicidades, has ganado el torneo!;Parabéns, você venceu o torneio!;Complimenti, hai vinto il torneo!;
popup.blason.unlocked.titre;Nouveau blason débloqué ! ;New crest unlocked!;¡Nuevo escudo desbloqueado!;Novo brasão desbloqueado!;Nuovo stemma sbloccato!;
popup.blason.unlocked.texte;Vous pouvez maintenant choisir un blason pour votre club.;You can now choose a crest for your club.;Ahora puedes elegir un escudo para tu club.;Agora você pode escolher um brasão para o seu clube.;Ora puoi scegliere uno stemma per il tuo club.;
gestion.titre;Gestion;Management;Gestión;Gestão;Gestione;
gestion.bouton.mon_equipe;Mon Équipe;My Team;Mi equipo;Minha equipe;La mia squadra;
gestion.bouton.finances;Finances;Finances;Finanzas;Finanças;Finanze;
gestion.bouton.boutique;Boutique;Shop;Tienda;Loja;Negozio;
gestion.bouton.billetterie;Billetterie;Ticketing (if separate);Taquilla (si está separada);Bilheteria (se separado);Biglietteria (se separata);
gestion.bouton.sponsors;Sponsors;Sponsors;Patrocinadores;Patrocinadores;Sponsor;
gestion.bouton.stade;Stade;Stadium;Estadio;Estádio;Stadio;
gestion.bouton.parking;Parking;Parking;Aparcamiento;Estacionamento;Parcheggio;
gestion.bouton.cafeteria;Cafétéria ;Cafeteria;Cafetería;Cafeteria;Caffetteria;
gestion.bouton.mercato;Mercato;Transfer market;Mercado de fichajes;Mercado de transferências;Mercato;
gestion.bouton.tournois;Tournois;Tournaments;Torneos;Torneios;Tornei;
gestion.bouton.messages;Messages;Messages;Mensajes;Mensagens;Messaggi;
gestion.bouton.retour;Retour;Back;Volver;Voltar;Indietro;
gestion.bandeau.niveau_club;Niveau du club : Lv {niveau};Club level: Lv {niveau};Nivel del club: Lv {niveau};Nível do clube: Lv {niveau};Livello del club: Lv {niveau};
gestion.bandeau.xp;XP : {xp}/{xp_max};XP: {xp}/{xp_max};XP: {xp}/{xp_max};XP: {xp}/{xp_max};XP: {xp}/{xp_max};
gestion.bandeau.tokens;Tokens : {nb_tokens};Tokens: {nb_tokens};Tokens: {nb_tokens};Tokens: {nb_tokens};Token: {nb_tokens};
gestion.bandeau.prochaine_mission;Prochaine mission : {titre_mission} ;Next mission: {titre_mission};Próxima misión: {titre_mission};Próxima missão: {titre_mission};Prossima missione: {titre_mission};
equipe.titre;Mon Équipe;My Team;Mi equipo;Minha equipe;La mia squadra;
equipe.sous_titre.tableau_performances;Tableau de performances;Performance table;Tabla de rendimiento;Tabela de desempenho;Tabella prestazioni;
equipe.colonne.nom;Nom;Name;Nombre;Nome;Nome;
equipe.colonne.poste;Poste;Position;Posición;Posição;Ruolo;
equipe.colonne.age;Âge;Age;Edad;Idade;Età;
equipe.colonne.ponderation;Perf.;Rating;Rend.;Desem.;Valut.;
equipe.colonne.motivation;Motiv.;Motivation;Motiv.;Motiv.;Motiv.;
equipe.colonne.vitesse;Vit.;Speed;Vel.;Vel.;Vel.;
equipe.colonne.force;For.;Strength;Fuerza;Força;Forza;
equipe.colonne.defense;Def.;Defense;Def.;Def.;Dif.;
equipe.colonne.endurance;End.;Stamina;Resistencia;Resistência;Resistenza;
equipe.colonne.salaire;Salaire;Salary;Salario;Salário;Stipendio;
equipe.label.total_salaire;Total salaires : {montant};Total salaries: {montant};Total salarios: {montant};Total de salários: {montant};Totale stipendi: {montant};
equipe.label.effectif;Effectif : {nb_joueurs} joueurs;Squad: {nb_joueurs} players;Plantilla: {nb_joueurs} jugadores;Elenco: {nb_joueurs} jogadores;Rosa: {nb_joueurs} giocatori;
fiche_joueur.titre;Fiche joueur;Player card;Ficha de jugador;Ficha do jogador;Scheda giocatore;
fiche_joueur.label.nom;Nom;Name;Nombre;Nome;Nome;
fiche_joueur.label.poste;Poste;Position;Posición;Posição;Ruolo;
fiche_joueur.label.age;Âge;Age;Edad;Idade;Età;
fiche_joueur.label.ponderation;Performance;Performance;Rendimiento;Desempenho;Prestazioni;
fiche_joueur.label.motivation;Motivation;Motivation;Motivación;Motivação;Motivazione;
fiche_joueur.label.vitesse;Vitesse;Speed;Velocidad;Velocidade;Velocità;
fiche_joueur.label.force;Force;Strength;Fuerza;Força;Forza;
fiche_joueur.label.defense;Défense;Defense;Defensa;Defesa;Difesa;
fiche_joueur.label.endurance;Endurance;Stamina;Resistencia;Resistência;Resistenza;
fiche_joueur.label.salaire;Salaire;Salary;Salario;Salário;Stipendio;
fiche_joueur.label.role;Rôle dans l’équipe ;Role in the team;Rol en el equipo;Papel na equipe;Ruolo nella squadra;
fiche_joueur.label.statut_blessure;Statut : blessé ;Status: injured;Estado: lesionado;Status: lesionado;Stato: infortunato;
fiche_joueur.label.statut_disponible;Statut : disponible ;Status: available;Estado: disponible;Status: disponível;Stato: disponibile;
fiche_joueur.bouton_fermer;Fermer;Close;Cerrar;Fechar;Chiudi;
fiche_joueur.bouton_renommer;Renommer  (si bouton existe);Rename;Renombrar;Renomear;Rinomina;
fiche_joueur.placeholder.prenom;Prénom ?;First name?;Nombre de pila?;Primeiro nome?;Nome?;
billetterie.titre;Billetterie;Ticketing;Taquilla;Bilheteria;Biglietteria;
billetterie.sous_titre;Gestion des places;Seat management;Gestión de asientos;Gestão de lugares;Gestione posti;
billetterie.colonne.categorie;Catégorie;Category;Categoría;Categoria;Categoria;
billetterie.colonne.prix_unitaire;Prix unitaire;Unit price;Precio unitario;Preço unitário;Prezzo unitario;
billetterie.colonne.nb_places;Nombre de places;Number of seats;Número de asientos;Número de lugares;Numero di posti;
billetterie.colonne.total_ligne;Total;Total;Total;Total;Totale;
billetterie.categorie.A;Catégorie A;Category A;Categoría A;Categoria A;Categoria A;
billetterie.categorie.B;Catégorie B;Category B;Categoría B;Categoria B;Categoria B;
billetterie.categorie.C;Catégorie C;Category C;Categoría C;Categoria C;Categoria C;
billetterie.total_previsionnel.label;Total prévisionnel;Projected total;Total previsto;Total previsto;Totale previsto;
billetterie.bouton.reinitialiser;Réinitialiser ;Reset;Restablecer;Redefinir;Reimposta;
billetterie.bouton.retour;Retour;Back;Volver;Voltar;Indietro;
boutique.titre;Boutique;Shop;Tienda;Loja;Negozio;
boutique.sous_titre;Articles dérivés;Merchandise;Artículos de merchandising;Produtos licenciados;Articoli di merchandising;
boutique.colonne.article;Article;Item;Artículo;Item;Articolo;
boutique.colonne.stock;Stock;Stock;Stock;Estoque;Scorte;
boutique.colonne.prix;Prix;Price;Precio;Preço;Prezzo;
boutique.colonne.quantite;Quantité;Quantity;Cantidad;Quantidade;Quantità;
boutique.colonne.total_ligne;Total;Total;Total;Total;Totale;
boutique.article.casquette;Casquette;Cap;Gorra;Boné;Cappellino;
boutique.article.echarpe;Écharpe;Scarf;Bufanda;Cachecol;Sciarpa;
boutique.article.tshirt;T-shirt;T-shirt;Camiseta;Camiseta;T-shirt;
boutique.article.drapeau;Drapeau;Flag;Bandera;Bandeira;Bandiera;
boutique.total_previsionnel.label;Total prévisionnel;Projected total;Total previsto;Total previsto;Totale previsto;
boutique.bouton.reinitialiser;Réinitialiser ;Reset;Restablecer;Redefinir;Reimposta;
boutique.bouton.retour;Retour;Back;Volver;Voltar;Indietro;
sponsors.titre;Sponsors;Sponsors;Patrocinadores;Patrocinadores;Sponsor;
sponsors.sous_titre;Contrats de sponsoring;Sponsorship contracts;Contratos de patrocinio;Contratos de patrocínio;Contratti di sponsorizzazione;
sponsors.carte.titre;Offre sponsor;Sponsor offer;Oferta de patrocinio;Oferta de patrocínio;Offerta sponsor;
sponsors.carte.label.nom;Nom du sponsor;Sponsor name;Nombre del patrocinador;Nome do patrocinador;Nome dello sponsor;
sponsors.carte.label.montant;Montant;Amount;Importe;Valor;Importo;
sponsors.carte.label.duree;Durée;Duration;Duración;Duração;Durata;
sponsors.carte.label.bonus;Bonus;Bonus;Bonus;Bônus;Bonus;
sponsors.etat.actif;Contrat actif;Active contract;Contrato activo;Contrato ativo;Contratto attivo;
sponsors.etat.inactif;Disponible;Available;Disponible;Disponível;Disponibile;
sponsors.label.sponsor_actif;Sponsor actuel : {nom};Current sponsor: {nom};Patrocinador actual: {nom};Patrocinador atual: {nom};Sponsor attuale: {nom};
sponsors.label.plus_aucun_sponsor;Aucun sponsor actif;No active sponsor;Ningún patrocinador activo;Nenhum patrocinador ativo;Nessuno sponsor attivo;
sponsors.bouton.confirmer;Confirmer;Confirm;Confirmar;Confirmar;Conferma;
sponsors.bouton.retour;Retour;Back;Volver;Voltar;Indietro;
finances.titre;Finances;Finances;Finanzas;Finanças;Finanze;
finances.label.recettes_totales;Total Recettes;Total revenue;Ingresos totales;Receitas totais;Entrate totali;
finances.label.detail_billetterie;Détail Billetterie;Ticketing details;Detalle taquilla;Detalhes da bilheteria;Dettaglio biglietteria;
finances.label.detail_boutique;Détail Boutique;Shop details;Detalle tienda;Detalhes da loja;Dettaglio negozio;
finances.label.sponsors;Sponsors;Sponsors;Patrocinadores;Patrocinadores;Sponsor;
finances.label.recettes_billetterie_cumulees;Recettes billetterie cumulées ;Cumulative ticketing revenue;Recaudación de taquilla acumulada;Receita de bilheteria acumulada;Incassi biglietteria cumulati;
finances.label.recettes_boutique_cumulees;Recettes boutique cumulées ;Cumulative shop revenue;Ingresos de tienda acumulados;Receita de loja acumulada;Incassi negozio cumulati;
finances.label.popularite_coefficient;Coefficient de popularité ;Popularity coefficient;Coeficiente de popularidad;Coeficiente de popularidade;Coefficiente di popolarità;
finances.bouton.retour;Retour;Back;Volver;Voltar;Indietro;
tournoi.accueil.titre;Tournois;Tournaments;Torneos;Torneios;Tornei;
tournoi.accueil.sous_titre;Choisissez un tournoi;Choose a tournament;Elige un torneo;Escolha um torneio;Scegli un torneo;
tournoi.accueil.tournoiA;Tournoi A;Tournament A;Torneo A;Torneio A;Torneo A;
tournoi.accueil.tournoiB;Tournoi B ;Tournament B;Torneo B;Torneio B;Torneo B;
tournoi.accueil.niveau.debutant;Débutant (si affiché encore);Beginner (if still shown);Principiante (si aún aparece);Iniciante (se ainda aparecer);Principiante (se ancora visibile);
tournoi.accueil.niveau.intermediaire;Intermédiaire;Intermediate;Intermedio;Intermediário;Intermedio;
tournoi.accueil.niveau.elite;Élite;Elite;Élite;Elite;Élite;
tournoi.accueil.label.tournoi_fini;Tournoi fini;Tournament over;Torneo terminado;Torneio encerrado;Torneo finito;
tournoi.accueil.label.tournoi_finalise;Tournoi finalisé;Tournament completed;Torneo completado;Torneio concluído;Torneo completato;
tournoi.accueil.bouton.retour;Retour;Back;Volver;Voltar;Indietro;
tournoi.ecran.titre;Tournoi de printemps ;Spring tournament;Torneo de primavera;Torneio de primavera;Torneo di primavera;
tournoi.ecran.colonne.quarts;Quarts de finale;Quarter-finals;Cuartos de final;Quartas de final;Quarti di finale;
tournoi.ecran.colonne.demis;Demi-finales;Semi-finals;Semifinales;Semifinais;Semifinali;
tournoi.ecran.colonne.finale;Finale;Final;Final;Final;Finale;
tournoi.ecran.bouton.lancer_tour;Lancer ce tour;Start this round;Iniciar esta ronda;Iniciar esta fase;Avvia questo turno;
tournoi.ecran.label.tour_actuel;Tour actuel : {nom_tour};Current round: {nom_tour};Ronda actual: {nom_tour};Fase atual: {nom_tour};Turno attuale: {nom_tour};
tournoi.ecran.label.vainqueur;Vainqueur : {nom_equipe};Winner: {nom_equipe};Ganador: {nom_equipe};Vencedor: {nom_equipe};Vincitore: {nom_equipe};
blasons.ecran.titre;Blasons;Crests;Escudos;Brasões;Stemme;
blasons.ecran.sous_titre;Choisissez un blason pour votre club;Choose a crest for your club;Elige un escudo para tu club;Escolha um brasão para o seu clube;Scegli uno stemma per il tuo club;
blasons.ecran.label.tier1;Blasons Tier 1;Tier 1 crests;Escudos Tier 1;Brasões Tier 1;Stemme Tier 1;
blasons.ecran.label.tier2;Blasons Tier 2;Tier 2 crests;Escudos Tier 2;Brasões Tier 2;Stemme Tier 2;
blasons.ecran.label.tier3;Blasons Tier 3;Tier 3 crests;Escudos Tier 3;Brasões Tier 3;Stemme Tier 3;
blasons.ecran.label.debloque_a_niveau;Débloqué à partir du niveau {niveau};Unlocked from level {niveau};Desbloqueado a partir del nivel {niveau};Desbloqueado a partir do nível {niveau};Sbloccato dal livello {niveau};
blasons.ecran.label.non_disponible;Non disponible;Not available;No disponible;Indisponível;Non disponibile;
blasons.ecran.bouton.confirmer;Confirmer;Confirm;Confirmar;Confirmar;Conferma;
blasons.ecran.bouton.retour;Retour;Back;Volver;Voltar;Indietro;
blasons.overlay.saison.label_adversaire;Adversaire : {nom_equipe};Opponent: {nom_equipe};Rival: {nom_equipe};Adversário: {nom_equipe};Avversario: {nom_equipe};
popup.blason.unlocked.titre;Blasons débloqués ! ;Crests unlocked!;¡Escudos desbloqueados!;Brasões desbloqueados!;Stemme sbloccate!;
popup.blason.unlocked.texte;Vous pouvez maintenant choisir un blason doré. ;You can now choose a golden crest.;Ahora puedes elegir un escudo dorado.;Agora você pode escolher um brasão dourado.;Ora puoi scegliere uno stemma dorato.;
messages.ecran.titre;Messages;Messages;Mensajes;Mensagens;Messaggi;
messages.ecran.colonne.liste;Messages reçus;Messages received;Mensajes recibidos;Mensagens recebidas;Messaggi ricevuti;
messages.ecran.colonne.details;Détail du message;Message details;Detalle del mensaje;Detalhes da mensagem;Dettaglio del messaggio;
messages.ecran.label.aucun_message;Aucun message pour l’instant;No messages for now;Ningún mensaje por ahora;Nenhuma mensagem por enquanto;Nessun messaggio per ora;
messages.ecran.label.nouveaux;Nouveaux messages : {nb};New messages: {nb};Nuevos mensajes: {nb};Novas mensagens: {nb};Nuovi messaggi: {nb};
messages.ecran.bouton.retour;Retour;Back;Volver;Voltar;Indietro;
message.type.tutoriel.bienvenue;Bienvenue dans Basket Manager !;Welcome to Basket Manager!;¡Bienvenido a Basket Manager!;Bem-vindo ao Basket Manager!;Benvenuto in Basket Manager!;
message.type.tutoriel.match_24h;Match dans 24h : préparez votre équipe !;Game in 24 hours: get your team ready!;Partido en 24 h: ¡prepara tu equipo!;Partida em 24 h: prepare sua equipe!;Partita tra 24 ore: prepara la tua squadra!;
message.type.alerte.stade_plein;Votre stade est presque plein !;Your stadium is almost full!;¡Tu estadio está casi lleno!;Seu estádio está quase lotado!;Il tuo stadio è quasi pieno!;
message.type.alerte.parking_sature;Votre parking est saturé.;Your parking lot is full.;Tu aparcamiento está saturado.;Seu estacionamento está lotado.;Il parcheggio è al completo.;
message.type.alerte.tokens;Vous avez gagné des tokens.;You have earned tokens.;Has ganado tokens.;Você ganhou tokens.;Hai guadagnato dei token.;
message.type.mission.nouvelle;Nouvelle mission disponible.;New mission available.;Nueva misión disponible.;Nova missão disponível.;Nuova missione disponibile.;
message.type.mission.terminee;Mission terminée !;Mission completed!;¡Misión completada!;Missão concluída!;Missione completata!;
message.type.mission.recompense;Récompense de mission : {nb_tokens} tokens, {xp} XP.;Mission reward: {nb_tokens} tokens, {xp} XP.;Recompensa de misión: {nb_tokens} tokens, {xp} XP.;Recompensa da missão: {nb_tokens} tokens, {xp} XP.;Ricompensa missione: {nb_tokens} token, {xp} XP.;
message.type.tournoi.invitation;Invitation à un tournoi.;Invitation to a tournament.;Invitación a un torneo.;Convite para um torneio.;Invito a un torneo.;
message.type.finances.alerte;Alerte finances : surveillez vos dépenses.;Finance alert: keep an eye on your spending.;Alerta de finanzas: controla tus gastos.;Alerta financeira: controle seus gastos.;Allerta finanze: controlla le tue spese.;
missions.bandeau.label;Missions ;Act. missions;Misiones activas;Missões ativas;Missioni attive;
missions.bandeau.mission_en_cours;Mission en cours : {titre};Mission in progress: {titre};Misión en curso: {titre};Missão em andamento: {titre};Missione in corso: {titre};
missions.bandeau.mission_terminee;Mission terminée : {titre};Mission completed: {titre};Misión completada: {titre};Missão concluída: {titre};Missione completata: {titre};
match.ecran.titre;Match;Game;Partido;Partida;Partita;
match.overlay.resultat.titre;Résultat du match;Game result;Resultado del partido;Resultado da partida;Risultato della partita;
match.overlay.resultat.score;{equipe1} {score1} - {score2} {equipe2};{equipe1} {score1} - {score2} {equipe2};{equipe1} {score1} - {score2} {equipe2};{equipe1} {score1} - {score2} {equipe2};{equipe1} {score1} - {score2} {equipe2};
match.overlay.resultat.mvp_match;MVP du match : {nom_joueur};Game MVP: {nom_joueur};MVP del partido: {nom_joueur};MVP da partida: {nom_joueur};MVP della partita: {nom_joueur};
match.overlay.resultat.mvp_equipe;MVP de votre équipe : {nom_joueur};Your team’s MVP: {nom_joueur};MVP de tu equipo: {nom_joueur};MVP da sua equipe: {nom_joueur};MVP della tua squadra: {nom_joueur};
match.overlay.resultat.bouton.continuer;Continuer;Continue;Continuar;Continuar;Continua;
compo_popup.titre;Composition du match;Game lineup;Alineación del partido;Escalação da partida;Formazione partita;
compo_popup.sous_titre.selection;Sélectionnez vos titulaires;Select your starters;Selecciona a tus titulares;Selecione seus titulares;Seleziona i tuoi titolari;
compo_popup.label.titulaires;Titulaires;Starters;Titulares;Titulares;Titolari;
compo_popup.label.remplaçants;Remplaçants;Substitutes;Suplentes;Reservas;Riserve;
compo_popup.bouton.demarrer_match;Démarrer MATCH;Start GAME;Iniciar PARTIDO;Iniciar PARTIDA;Avvia PARTITA;
compo_popup.bouton.annuler;Annuler;Cancel;Cancelar;Cancelar;Annulla;
mercato.titre;Mercato;Transfer market;Mercado de fichajes;Mercado de transferências;Mercato;
mercato.colonne.nom;Nom;Name;Nombre;Nome;Nome;
mercato.colonne.poste;Poste;Position;Posición;Posição;Ruolo;
mercato.colonne.age;Âge;Age;Edad;Idade;Età;
mercato.colonne.ponderation;Perf.;Rating;Rend.;Desem.;Valut.;
mercato.colonne.cout_achat;Coût d’achat;Transfer fee;Coste de fichaje;Custo de contratação;Costo di acquisto;
mercato.colonne.salaire;Salaire;Salary;Salario;Salário;Stipendio;
mercato.colonne.statut;Statut;Status;Estado;Status;Stato;
mercato.statut.disponible;Disponible;Available;Disponible;Disponível;Disponibile;
mercato.statut.deja_achete;Déjà acheté;Already bought;Ya comprado;Já comprado;Già acquistato;
mercato.bouton.acheter;Acheter;Buy;Comprar;Comprar;Acquista;
mercato.bouton.confirmer;Confirmer;Confirm;Confirmar;Confirmar;Conferma;
mercato.bouton.retour;Retour;Back;Volver;Voltar;Indietro;
saison.popularite.label;Popularité;Popularity;Popularidad;Popularidade;Popolarità;
gestion.popularite.label;Popularité;Popularity;Popularidad;Popularidade;Popolarità;
trophees.titre;Salle des trophées;Trophy room;Sala de trofeos;Sala de troféus;Sala trofei;
trophees.caption.saison;Saison {num};Season {num};Temporada {num};Temporada {num};Stagione {num};
tokens.pill.unlock;Déblocage immédiat;Instant unlock;Desbloqueo inmediato;Desbloqueio imediato;Sblocco immediato;
